nconst	primaryName	birthYear	deathYear
nm0000122	Charles Chaplin	1889	1977
nm0000252	Robert Ellis	1892	1974
nm0000406	John Ford	1894	1973
nm0000428	D.W. Griffith	1875	1948
nm0000590	Edgar Allan Poe	1809	1849
nm0000636	William Shakespeare	1564	1616
nm0000779	Roscoe 'Fatty' Arbuckle	1887	1933
nm0000847	Theda Bara	1885	1955
nm0000856	Ethel Barrymore	1879	1959
nm0000858	John Barrymore	1882	1942
nm0000859	Lionel Barrymore	1878	1954
nm0000875	L. Frank Baum	1856	1919
nm0000891	Wallace Beery	1885	1949
nm0001124	Cecil B. DeMille	1881	1959
nm0001273	Lillian Gish	1893	1993
nm0001316	Oliver Hardy	1892	1957
nm0001366	Leslie Howard	1893	1943
nm0001908	Gilbert M. 'Broncho Billy' Anderson	1880	1971
nm0002001	Maurice Chevalier	1888	1972
nm0002031	Michael Curtiz	1886	1962
nm0002034	Jane Darwell	1879	1967
nm0002042	Charles Dickens	1812	1870
nm0002061	Maurice Elvey	1887	1967
nm0002118	Alan Hale	1892	1950
nm0002154	Alfred Abel	1879	1937
nm0002161	Hans Albers	1891	1960
nm0002177	Oscar Apfel	1878	1938
nm0002233	Erich von Stroheim	1885	1957
nm0002271	Rex Ingram	1892	1950
nm0002311	Montagu Love	1880	1943
nm0002487	Jackson Rose	1886	1956
nm0002503	Harry Carey	1878	1947
nm0002504	Herbert Beerbohm Tree	1852	1917
nm0002615	Siegmund Lubin	1851	1923
nm0002616	Anita Loos	1889	1981
nm0002771	Edward J. Montagne	1885	1932
nm0002935	Moe Howard	1897	1975
nm0003124	Pedro de Cordoba	1881	1950
nm0003193	Harry Davenport	1866	1949
nm0003424	Hank Mann	1887	1971
nm0003425	Asta Nielsen	1881	1972
nm0003433	Carl Theodor Dreyer	1889	1968
nm0003471	Richard Wagner	1813	1883
nm0003546	Charles Rosher	1885	1974
nm0003668	Brian Benison	\N	\N
nm0004592	Robert Israel	1963	\N
nm0005635	Lucien N. Andriot	1892	1979
nm0005641	Joseph H. August	1890	1947
nm0005646	André Barlatier	1882	1943
nm0005658	G.W. Bitzer	1872	1944
nm0005690	William K.L. Dickson	1860	1935
nm0005713	Karl Freund	1890	1969
nm0005717	Fructuós Gelabert	1874	1955
nm0005736	Willy Hameister	1889	1938
nm0005748	Julius Jaenzon	1885	1961
nm0005800	Victor Milner	1893	1972
nm0005803	Hal Mohr	1894	1974
nm0005809	Joseph-Louis Mundwiller	1886	1967
nm0005818	Roy F. Overbaugh	1882	1966
nm0005835	Sol Polito	1892	1960
nm0005847	Phil Rosen	1888	1951
nm0005869	Guido Seeber	1879	1940
nm0005874	Allen G. Siegler	1892	1960
nm0005882	Theodor Sparkuhl	1894	1946
nm0005896	Philip Tannura	1897	1973
nm0005906	Roland Totheroh	1890	1967
nm0005931	Alvin Wyckoff	1877	1957
nm0005959	Giuseppe Becce	1877	1973
nm0006269	Camille Saint-Saëns	1835	1921
nm0006276	Victor Schertzinger	1888	1941
nm0007215	King Baggot	1879	1948
nm0007221	Maurice Costello	1877	1950
nm0007239	Henry Cronjager	1877	1967
nm0007413	Mathaleen Aamold	1894	1977
nm0007625	A.C. Abadie	1878	1950
nm0007853	Charles S. Abbe	1860	1932
nm0007882	May Abbey	1875	1952
nm0007977	Gypsy Abbott	1897	1952
nm0008518	Edward Abeles	1869	1919
nm0008658	Master Abernathy	\N	\N
nm0008759	William L. Abingdon	1859	1918
nm0009257	Ivan Abramson	1869	1934
nm0009400	Lawrence Abrott	1888	1961
nm0009872	Fritz Achterberg	1880	1971
nm0009926	Edward Acker	\N	\N
nm0010017	Walter Ackerman	1881	1938
nm0010134	Art Acord	1890	1931
nm0010291	Birt Acres	1854	1918
nm0010373	Ilona Cs. Aczél	1884	1940
nm0010420	Belle Adair	1889	1918
nm0010845	Claire Adams	1896	1978
nm0010855	Constance Adams	1874	1960
nm0011004	Gwil Adams	\N	\N
nm0011089	John Wolcott Adams	1874	1925
nm0011111	Justin Adams	1862	1937
nm0011151	Lionel Adams	1866	1952
nm0011370	Stella Adams	1883	1961
nm0011440	William S. Adams	1892	1930
nm0011700	Carlotta Addison	1849	1914
nm0011748	George Ade	1866	1944
nm0012108	B. Adler	\N	\N
nm0012169	Jacob P. Adler	1855	1926
nm0012216	Paul Adler	\N	\N
nm0012238	Sarah Adler	1858	1953
nm0012261	William F. Adler	1886	1956
nm0012317	John G. Adolfi	1881	1933
nm0012416	Lorenzo Adria	\N	\N
nm0012481	Pilar Adriano	\N	\N
nm0012505	Lorenza Adriá	\N	\N
nm0013018	Svend Aggerholm	1875	1940
nm0013653	Francisco Aguiló	\N	\N
nm0014363	Nils Aréhn	1877	1928
nm0014571	George L. Aiken	1830	1876
nm0014656	Raymond Aimos	1889	1944
nm0014680	Henry Ainley	1879	1945
nm0014707	James D. Ainsley	\N	\N
nm0014840	Arthur C. Aiston	1868	1924
nm0014872	H.E. Aitken	1877	1956
nm0014894	Spottiswoode Aitken	1867	1933
nm0016071	Juan Alarma	\N	\N
nm0016317	Fernande Albany	1889	1966
nm0016632	Count Alberti	1849	1914
nm0016674	Viola Alberti	1871	\N
nm0016697	Luciano Albertini	1882	1941
nm0016744	Dan Albert	1891	1919
nm0016799	Emil Albes	1861	1923
nm0017074	Ernesto de Albuquerque	1883	1940
nm0017144	Luis Alcalde	\N	\N
nm0017488	Mary Alden	1883	1946
nm0017629	Bernd Aldor	1881	1950
nm0017701	Thomas Bailey Aldrich	1836	1907
nm0017826	Antonio Alegría	\N	\N
nm0018392	Edna Alexander	\N	\N
nm0018393	Edward Alexander	1886	1964
nm0018814	Karin Alexandersson	1878	1948
nm0018885	René Alexandre	1885	1946
nm0018958	Alexia	\N	\N
nm0019255	Edward M. Alfriend	1837	1901
nm0019604	Dante Alighieri	1265	1321
nm0019855	Marcel Allain	1885	1969
nm0020140	James Allbaugh	\N	\N
nm0020234	Joseph Allen Sr.	1873	1952
nm0020240	Aileen Allen	1888	1950
nm0020474	E.H. Allen	1884	1955
nm0020504	Estelle Allen	1892	1970
nm0020697	Joseph Allen	\N	\N
nm0020791	Mabel Allen	\N	\N
nm0020798	Margaret Allen	\N	\N
nm0020914	Phyllis Allen	1861	1938
nm0020947	Ricca Allen	1863	1949
nm0020948	Richard Allen	1871	1940
nm0021224	Gyda Aller	\N	\N
nm0021283	Ludovic Halévy	1834	1908
nm0021372	James Alling	\N	\N
nm0021471	May Allison	1890	1989
