tconst	titleType	primaryTitle	originalTitle	startYear	endYear	runtimeMinutes
tt0000001	short	Carmencita	Carmencita	1894	\N	1
tt0000002	short	Le clown et ses chiens	Le clown et ses chiens	1892	\N	5
tt0000003	short	Pauvre Pierrot	Pauvre Pierrot	1892	\N	4
tt0000004	short	Un bon bock	Un bon bock	1892	\N	12
tt0000005	short	Blacksmith Scene	Blacksmith Scene	1893	\N	1
tt0000006	short	Chinese Opium Den	Chinese Opium Den	1894	\N	1
tt0000007	short	Corbett and Courtney Before the Kinetograph	Corbett and Courtney Before the Kinetograph	1894	\N	1
tt0000008	short	Edison Kinetoscopic Record of a Sneeze	Edison Kinetoscopic Record of a Sneeze	1894	\N	1
tt0000009	movie	Miss Jerry	Miss Jerry	1894	\N	45
tt0000010	short	Leaving the Factory	La sortie de l'usine Lumière à Lyon	1895	\N	1
tt0000011	short	Akrobatisches Potpourri	Akrobatisches Potpourri	1895	\N	1
tt0000012	short	The Arrival of a Train	L'arrivée d'un train à La Ciotat	1896	\N	1
tt0000013	short	The Photographical Congress Arrives in Lyon	Le débarquement du congrès de photographie à Lyon	1895	\N	1
tt0000014	short	The Waterer Watered	L'arroseur arrosé	1895	\N	1
tt0000015	short	Autour d'une cabine	Autour d'une cabine	1894	\N	2
tt0000016	short	Boat Leaving the Port	Barque sortant du port	1895	\N	1
tt0000017	short	Italienischer Bauerntanz	Italienischer Bauerntanz	1895	\N	1
tt0000018	short	Das boxende Känguruh	Das boxende Känguruh	1895	\N	1
tt0000019	short	The Clown Barber	The Clown Barber	1898	\N	\N
tt0000020	short	The Derby 1895	The Derby 1895	1895	\N	1
tt0000022	short	Blacksmith Scene	Les forgerons	1895	\N	1
tt0000023	short	The Sea	Baignade en mer	1895	\N	1
tt0000024	short	Opening of the Kiel Canal	Opening of the Kiel Canal	1895	\N	1
tt0000025	short	The Oxford and Cambridge University Boat Race	The Oxford and Cambridge University Boat Race	1896	\N	\N
tt0000026	short	The Messers. Lumière at Cards	Partie d'écarté	1896	\N	1
tt0000027	short	Cordeliers' Square in Lyon	Place des Cordeliers à Lyon	1895	\N	1
tt0000028	short	Fishing for Goldfish	La pêche aux poissons rouges	1895	\N	1
tt0000029	short	Baby's Meal	Repas de bébé	1895	\N	1
tt0000030	short	Rough Sea at Dover	Rough Sea at Dover	1895	\N	1
tt0000031	short	Jumping the Blanket	Le saut à la couverture	1895	\N	1
tt0000032	short	Die Serpentintänzerin	Die Serpentintänzerin	1895	\N	1
tt0000033	short	Horse Trick Riders	La voltige	1895	\N	1
tt0000034	short	Arrivée d'un train gare de Vincennes	Arrivée d'un train gare de Vincennes	1896	\N	1
tt0000035	short	Watering the Flowers	L'arroseur	1896	\N	1
tt0000036	short	Awakening of Rip	Awakening of Rip	1896	\N	1
tt0000037	short	Sea Bathing	Baignade en mer	1896	\N	1
tt0000038	short	The Ball Game	The Ball Game	1898	\N	\N
tt0000039	short	Barnet Horse Fair	Barnet Horse Fair	1896	\N	\N
tt0000040	short	Barque sortant du port de Trouville	Barque sortant du port de Trouville	1896	\N	\N
tt0000041	short	Bataille de neige	Bataille de neige	1897	\N	1
tt0000042	short	Bateau-mouche sur la Seine	Bateau-mouche sur la Seine	1896	\N	\N
tt0000043	short	Batteuse à vapeur	Batteuse à vapeur	1896	\N	\N
tt0000044	short	Le bivouac	Le bivouac	1896	\N	1
tt0000045	short	Les blanchisseuses	Les blanchisseuses	1896	\N	\N
tt0000046	short	Bois de Boulogne	Bois de Boulogne	1896	\N	\N
tt0000047	short	Boulevard des Italiens	Boulevard des Italiens	1896	\N	\N
tt0000048	short	The Boxing Kangaroo	The Boxing Kangaroo	1896	\N	\N
tt0000049	short	Boxing Match; or, Glove Contest	Boxing Match; or, Glove Contest	1896	\N	\N
tt0000050	short	Bébé et fillettes	Bébé et fillettes	1896	\N	\N
tt0000051	short	The Bohemian Encampment	Campement de bohémiens	1896	\N	\N
tt0000052	short	Ruraux au galop	Ruraux au galop	1896	\N	1
tt0000053	short	A Chegada do Comboio Inaugural à Estação Central do Porto	A Chegada do Comboio Inaugural à Estação Central do Porto	1897	\N	\N
tt0000054	short	A Merry-Go-Round	Les chevaux de bois	1896	\N	\N
tt0000055	short	Le chiffonnier	Le chiffonnier	1896	\N	\N
tt0000056	short	Uma Corrida de Touros no Campo Pequeno	Uma Corrida de Touros no Campo Pequeno	1896	\N	\N
tt0000057	short	Cortège de tzar allant à Versailles	Cortège de tzar allant à Versailles	1896	\N	\N
tt0000058	short	Cortège de tzar au Bois de Boulogne	Cortège de tzar au Bois de Boulogne	1896	\N	\N
tt0000059	short	Coronation of a Village Maiden	Couronnement de la rosière	1896	\N	\N
tt0000060	short	Dancing Darkies	Dancing Darkies	1896	\N	\N
tt0000061	short	Dancing Girls	Dancing Girls	1896	\N	\N
tt0000062	short	Danse serpentine	Danse serpentine	1896	\N	1
tt0000063	short	Dessinateur express	Dessinateur express	1896	\N	\N
tt0000064	short	Dessinateur: Chamberlain	Dessinateur: Chamberlain	1896	\N	\N
tt0000065	short	Dessinateur: Reine Victoria	Dessinateur: Reine Victoria	1896	\N	\N
tt0000066	short	Dessinateur: Von Bismark	Dessinateur: Von Bismark	1896	\N	\N
tt0000067	short	Conjurer Making Ten Hats in Sixty Seconds	Dix chapeaux en 60 secondes	1896	\N	\N
tt0000068	short	Unloading the Boat	Déchargement de bateaux	1896	\N	\N
tt0000069	short	Post No Bills	Défense d'afficher	1896	\N	1
tt0000070	short	Demolition of a Wall	Démolition d'un mur	1896	\N	1
tt0000071	short	Automobiles Starting a Race	Départ des automobiles	1896	\N	\N
tt0000072	short	Officers of French Army Leaving Service	Départ des officiers	1896	\N	\N
tt0000073	short	Effets de mer sur les rochers	Effets de mer sur les rochers	1896	\N	\N
tt0000074	short	Enfants jouant sur la plage	Enfants jouant sur la plage	1896	\N	\N
tt0000075	short	The Conjuring of a Woman at the House of Robert Houdin	Escamotage d'une dame au théâtre Robert Houdin	1896	\N	1
tt0000076	short	Exit of Rip and the Dwarf	Exit of Rip and the Dwarf	1896	\N	1
tt0000077	short	Le fakir, mystère indien	Le fakir, mystère indien	1896	\N	\N
tt0000078	short	Feira de Gado na Corujeira	Feira de Gado na Corujeira	1896	\N	1
tt0000079	short	La gare Saint-Lazare	La gare Saint-Lazare	1896	\N	\N
tt0000080	short	Grandes manoeuvres	Grandes manoeuvres	1896	\N	\N
